"","Turtle","Time","Lac","pH","PCO2","PO2"
"1",1,0,3.29,8.05244,302.08087695994,476.789766708809
"2",1,5,3.2,8.06944,300.635513912285,491.689446918459
"3",1,10,3.17,8.05644,307.862329150561,506.589127128109
"4",1,15,3.3,8.07444,296.299424769319,566.187847966711
"5",1,45,3.27,7.97344,352.668583627873,849.281771950066
"6",1,90,3.31,7.95644,343.996405341941,1087.67665530447
"7",2,0,4.31,7.9448,451.077706097695,386.306278283317
"8",2,5,3.95,7.9528,417.767352416635,457.844477965412
"9",2,10,3.52,7.9638,398.336312769349,443.536838028993
"10",2,15,3.61,7.9678,391.396655752462,457.844477965412
"11",2,45,3.62,7.9308,399.724244172727,472.152117901832
"12",2,90,3.57,7.9068,426.0949408369,572.305597456766
"13",3,0,0.73,7.89004,315.816611883021,570.4308032582
"14",3,5,0.72,7.89304,295.571957275135,570.4308032582
"15",3,10,0.68,7.88504,294.222313634609,626.082588941927
"16",3,15,0.63,7.87304,305.019462758815,653.908481783791
"17",3,90,0.56,7.80304,329.313048288278,1572.16294556528
"18",4,0,2.21,7.9366,396.661223144584,234.842641715018
"19",4,5,2.22,7.9436,384.600577846268,221.028368672958
"20",4,10,2.21,7.9336,388.620792945707,221.028368672958
"21",4,15,2.24,7.9296,391.300936345332,262.471187799137
"22",4,45,2.2,7.8946,422.122585441026,331.542553009437
"23",4,90,2.29,7.8496,448.924019437282,386.799645177676
"24",5,0,3.01,7.92904,348.208059255639,306.084821260498
"25",5,5,1.7,7.91804,296.921600915661,361.736606944225
"26",5,10,1.55,7.92104,296.921600915661,389.562499786088
"27",5,15,1.51,7.89504,315.816611883021,389.562499786088
"28",5,45,1.47,7.84304,340.110197412484,584.343749679132
"29",5,90,1.52,7.91204,302.320175477764,709.560267467518
"30",6,0,2.02,7.89048,345.240757634624,322.267255395482
"31",6,5,1.95,7.89348,334.367032984715,322.267255395482
"32",6,10,1.85,7.87948,324.852523916044,308.255635595679
"33",6,15,1.66,7.91048,296.308996710032,434.360213793911
"34",6,45,1.59,7.82648,337.085464147192,518.429932592732
"35",6,90,1.72,7.83048,346.599973215863,798.662328588804
"36",7,0,2.25,7.94948,292.231349966316,252.209156396464
"37",7,5,2.12,7.96848,259.610176016588,294.244015795875
"38",7,10,2.12,7.96248,267.76546950402,294.244015795875
"39",7,15,2.18,7.95348,277.279978572691,322.267255395482
"40",7,45,2.17,7.90848,304.464290197464,490.406692993125
"41",7,90,2.2,7.93448,292.231349966316,392.3253543945
"42",8,0,1.07,8.04948,327.69539030779,313.090631160399
"43",8,5,0.99,8.06148,319.702819812478,379.004448246799
"44",8,10,0.98,8.05848,308.513221119041,395.482902518399
"45",8,15,0.95,8.05648,303.717678821854,395.482902518399
"46",8,45,1.01,8.05748,300.520650623729,741.530442221999
"47",8,90,1.01,7.96148,346.877559496539,1417.1470673576
"48",9,0,1.97,7.9578,324.775948390341,300.460438664802
"49",9,5,1.69,7.9598,310.896634356565,314.768078601221
"50",9,10,1.64,7.9388,313.672497163321,357.690998410478
"51",9,15,1.51,7.9338,306.732840146433,357.690998410478
"52",9,45,1.52,7.9088,315.060428566698,429.229198092574
"53",9,90,1.52,7.9368,283.138006289015,472.152117901832
"54",10,0,0,7.94036,278.428611458244,440.477963283966
"55",10,5,0,7.94236,274.293533070251,426.268996726418
"56",10,10,0,7.91936,285.320408771567,426.268996726418
"57",10,15,0,7.92636,286.698768234232,454.686929841513
"58",10,45,0,7.87436,307.3741601742,625.19452853208
"59",10,90,0,7.90336,290.833846622226,639.403495089628
